"id","title","year","url","source_category","objective_categories","objective_basis","confidence","boundary_notes","needs_followup"
"arxiv:2407.17387","PERSONA: A Reproducible Testbed for Pluralistic Alignment","2024","https://arxiv.org/abs/2407.17387","Population-Sampled Personas","Population Representation; Agent / Model Evaluation","Local metadata supports: Population Representation; Agent / Model Evaluation. Prior source tags: joint-structure preservation; role-playing evaluation. Abstract basis: The rapid advancement of language models (LMs) necessitates robust alignment with diverse user values. However, current preference optimization approaches often fail to capture the plurality of user opinions, instead reinforcing majority viewpoints and margina...","high","Representative profiles are used as an evaluation/alignment testbed.","no"
"arxiv:2408.06929","Evaluating Cultural Adaptability of a Large Language Model via Simulation of Synthetic Personas","2024","https://arxiv.org/abs/2408.06929","Trace-Grounded Personas","Behavioral Calibration; Agent / Model Evaluation","Local metadata supports: Behavioral Calibration; Agent / Model Evaluation. Prior source tags: individual fidelity; behavioral calibration. Abstract basis: The success of Large Language Models (LLMs) in multicultural environments hinges on their ability to understand users' diverse cultural backgrounds. We measure this capability by having an LLM simulate human profiles representing various nationalities within t...","medium","Local metadata supports cultural simulation/evaluation but not a clear construction source.","yes"
"arxiv:2604.15461","Evaluating LLM Simulators as Differentially Private Data Generators","2026","https://arxiv.org/abs/2604.15461","Population-Sampled Personas","Population Representation; Behavioral Calibration","Local metadata supports: Population Representation; Behavioral Calibration. Prior source tags: density matching; behavioral calibration. Abstract basis: LLM-based simulators offer a promising path for generating complex synthetic data where traditional differentially private (DP) methods struggle with high-dimensional user profiles. But can LLMs faithfully reproduce statistical distributions from DP-protected...","high","Protected user statistics anchor the representation claim.","no"
"arxiv:2603.22837","Analysing LLM Persona Generation and Fairness Interpretation in Polarised Geopolitical Contexts","2026","https://arxiv.org/abs/2603.22837","Model-Generated Personas","Coverage and Stress Testing; Bias and Harm Auditing","Local metadata supports: Coverage and Stress Testing; Bias and Harm Auditing. Prior source tags: bias/harm audit; support coverage. Abstract basis: Large language models (LLMs) are increasingly utilised for social simulation and persona generation, necessitating an understanding of how they represent geopolitical identities. In this paper, we analyse personas generated for Palestinian and Israeli identiti...","high","Identity coverage supports the audit rather than prevalence matching.","no"
"arxiv:2602.00044","When LLMs Imagine People: A Human-Centered Persona Brainstorm Audit for Bias and Fairness in Creative Applications","2026","https://arxiv.org/abs/2602.00044","Model-Generated Personas","Coverage and Stress Testing; Bias and Harm Auditing","Local metadata supports: Coverage and Stress Testing; Bias and Harm Auditing. Prior source tags: bias/harm audit; support coverage. Abstract basis: Large Language Models (LLMs) used in creative workflows can reinforce stereotypes and perpetuate inequities, making fairness auditing essential. Existing methods rely on constrained tasks and fixed benchmarks, leaving open-ended creative outputs unexamined. We...","high","Clear harm-audit use of generated persona sets.","no"
"doi:10.1145/3708319.3733685","Simulating Human Opinions with Large Language Models: Opportunities and Challenges for Personalized Survey Data Modeling","2025","https://doi.org/10.1145/3708319.3733685","Trace-Grounded Personas","Individual Fidelity; Behavioral Calibration","Local metadata supports: Individual Fidelity; Behavioral Calibration. Prior source tags: individual fidelity; behavioral calibration. Abstract basis: Public and private organizations rely on opinion surveys to inform business and policy decisions. Yet, empirical surveys are costly and time-consuming. Recent advances in large language models (LLMs) have sparked interest in generating synthetic survey data, i...","medium","Full text needed to separate individual-level from aggregate survey modeling.","yes"
"arxiv:2501.15427","OpenCharacter: Training Customizable Role-Playing LLMs with Large-Scale Synthetic Personas","2025","https://arxiv.org/abs/2501.15427","Model-Generated Personas","Coverage and Stress Testing; Agent / Model Evaluation","Local metadata supports: Coverage and Stress Testing; Agent / Model Evaluation. Prior source tags: narrative enrichment; support coverage. Abstract basis: Customizable role-playing in large language models (LLMs), also known as character generalization, is gaining increasing attention for its versatility and cost-efficiency in developing and deploying role-playing dialogue agents. This study explores a large-sca...","medium","Synthetic persona diversity appears instrumental to role-play model evaluation/training.","yes"
"arxiv:2509.02605","Synthetic Founders: AI-Generated Social Simulations for Startup Validation Research in Computational Social Science","2025","https://arxiv.org/abs/2509.02605","Model-Generated Personas","Behavioral Calibration","Local metadata supports: Behavioral Calibration. Prior source tags: narrative enrichment; behavioral calibration. Abstract basis: We present a comparative docking experiment that aligns human-subject interview data with large language model (LLM)-driven synthetic personas to evaluate fidelity, divergence, and blind spots in AI-enabled simulation. Fifteen early-stage startup founders were...","medium","Startup validation is an application context; behavioral docking is the clearest taxonomy objective.","yes"
"arxiv:2411.03321","Towards More Accurate US Presidential Election via Multi-step Reasoning with Large Language Models","2024","https://arxiv.org/abs/2411.03321","Population-Sampled Personas","Population Representation; Behavioral Calibration","Local metadata supports: Population Representation; Behavioral Calibration. Prior source tags: density matching; behavioral calibration. Abstract basis: Can Large Language Models (LLMs) accurately predict election outcomes? While LLMs have demonstrated impressive performance in various domains, including healthcare, legal analysis, and creative tasks, their ability to forecast elections remains unknown. Electi...","medium","Sampling details need full-text verification.","yes"
"arxiv:2412.11250","Beyond Discrete Personas: Personality Modeling Through Journal Intensive Conversations","2024","https://arxiv.org/abs/2412.11250","Trace-Grounded Personas","Individual Fidelity","Local metadata supports: Individual Fidelity. Prior source tags: individual fidelity; narrative enrichment. Abstract basis: Large Language Models (LLMs) have significantly improved personalized conversational capabilities. However, existing datasets like Persona Chat, Synthetic Persona Chat, and Blended Skill Talk rely on static, predefined personas. This approach often results in...","high","Local metadata emphasizes author-level trace preservation more than observed behavior calibration.","no"
"arxiv:2603.04855","HACHIMI: Scalable and Controllable Student Persona Generation via Orchestrated Agents","2026","https://arxiv.org/abs/2603.04855","Population-Sampled Personas","Population Representation; Behavioral Calibration","Local metadata supports: Population Representation; Behavioral Calibration. Prior source tags: quota/stratified balance; behavioral calibration; joint-structure preservation. Abstract basis: Student Personas (SPs) are emerging as infrastructure for educational LLMs, yet prior work often relies on ad-hoc prompting or hand-crafted profiles with limited control over educational theory and population distributions. We formalize this as Theory-Aligned...","high","Population distributions and quotas carry the core validity claim.","no"
"arxiv:2605.12894","Beyond Cooperative Simulators: Generating Realistic User Personas for Robust Evaluation of LLM Agents","2026","https://arxiv.org/abs/2605.12894","Model-Generated Personas","Coverage and Stress Testing; Behavioral Calibration; Agent / Model Evaluation","Local metadata supports: Coverage and Stress Testing; Behavioral Calibration; Agent / Model Evaluation. Prior source tags: support coverage; stress/edge-case testing; behavioral calibration. Abstract basis: Large Language Model (LLM) agents are increasingly deployed in settings where they interact with a wide variety of people, including users who are unclear, impatient, or reluctant to share information. However, collecting real interaction data at scale remains...","high","Stress-testing objective is explicit.","no"
"arxiv:2606.18256","Dynamic In-Group Persona Generation for Enhancing Human-AI Rapport","2026","https://arxiv.org/abs/2606.18256","Model-Generated Personas","Agent / Model Evaluation","Local metadata supports: Agent / Model Evaluation. Prior source tags: narrative enrichment; support coverage. Abstract basis: LLM-based chatbots are increasingly applied in interpersonal domains such as counseling and peer support, where establishing human-AI rapport is crucial yet remains challenging. In this work, we introduce a novel approach for conditioning LLMs with in-group pe...","medium","Rapport is not a taxonomy label; model-behavior evaluation is the closest supported objective.","yes"
"arxiv:2605.08630","Sycamore: Characterizing Synthetic Personas for Evaluating Genomics Visualization Retrieval","2026","https://arxiv.org/abs/2605.08630","Trace-Grounded Personas","Behavioral Calibration; Agent / Model Evaluation","Local metadata supports: Behavioral Calibration; Agent / Model Evaluation. Prior source tags: individual fidelity; behavioral calibration. Abstract basis: Evaluating visualization systems in niche domains such as genomics is challenging due to scarcity of domain experts and difficulty recruiting a representative user base. While LLM-based synthetic personas are increasingly used to ease evaluation bottlenecks, t...","medium","System-evaluation use stretches the Agent / Model Evaluation label beyond LLM-only evaluation.","yes"
"arxiv:2603.28066","Synonymix: Unified Group Personas for Generative Simulations","2026","https://arxiv.org/abs/2603.28066","Trace-Grounded Personas","Population Representation; Behavioral Calibration","Local metadata supports: Population Representation; Behavioral Calibration. Prior source tags: narrative enrichment; behavioral calibration. Abstract basis: Generative agent simulations operate at two scales: individual personas for character interaction, and population models for collective behavior analysis and intervention testing. We propose a third scale: meso-level simulation - interaction with group-level r...","medium","Meso-level group abstraction is a boundary case between population representation and behavioral calibration.","yes"
"arxiv:2603.01438","Enhancing Persona Following at Decoding Time via Dynamic Importance Estimation for Role-Playing Agents","2026","https://arxiv.org/abs/2603.01438","Not Persona Generation / adjacent","Agent / Model Evaluation","Local metadata supports: Agent / Model Evaluation. Prior source tags: role-playing evaluation. Abstract basis: The utility of Role-Playing Language Agents in sociological research is growing alongside the adoption of Large Language Models. For realism in social simulation, these agents must adhere to their personas defined by character profiles, yet existing strategies...","high","Persona following is explicitly an agent/model evaluation objective.","no"
"arxiv:2606.09637","Agentic Persona Generation with Critique-Refinement: An Industrial Evaluation","2026","https://arxiv.org/abs/2606.09637","Trace-Grounded Personas","Design Communication","Local metadata supports: Design Communication. Prior source tags: design communication; narrative enrichment. Abstract basis: Personas are widely used in software engineering to support requirements elicitation, design, and validation, but their manual creation is costly, time-consuming, and hard to scale. Recent LLM-based approaches automate persona generation from textual data; how...","high","Clear software-engineering design use.","no"
"arxiv:2601.22288","PersonaCite: VoC-Grounded Interviewable Agentic Synthetic AI Personas for Verifiable User and Design Research","2026","https://arxiv.org/abs/2601.22288","Trace-Grounded Personas","Individual Fidelity; Design Communication","Local metadata supports: Individual Fidelity; Design Communication. Prior source tags: design communication; individual fidelity. Abstract basis: LLM-based and agent-based synthetic personas are increasingly used in design and product decision-making, yet prior work shows that prompt-based personas often produce persuasive but unverifiable responses that obscure their evidentiary basis. We present Perso...","high","Evidentiary grounding supports fidelity; user/design research supports communication.","no"
"arxiv:2508.16013","Political Ideology Shifts in Large Language Models","2025","https://arxiv.org/abs/2508.16013","Not Persona Generation / adjacent","Bias and Harm Auditing; Agent / Model Evaluation","Local metadata supports: Bias and Harm Auditing; Agent / Model Evaluation. Prior source tags: role-playing evaluation. Abstract basis: Large language models (LLMs) are increasingly deployed in politically sensitive settings, raising concerns about their potential to encode, amplify, or be steered toward specific ideologies. We investigate how adopting synthetic personas influences ideological...","high","Persona-conditioned political behavior is both a model evaluation and bias audit.","no"
"arxiv:2505.07850","A Tale of Two Identities: An Ethical Audit of Human and AI-Crafted Personas","2025","https://arxiv.org/abs/2505.07850","Model-Generated Personas","Bias and Harm Auditing","Local metadata supports: Bias and Harm Auditing. Prior source tags: bias/harm audit; narrative enrichment. Abstract basis: As LLMs (large language models) are increasingly used to generate synthetic personas particularly in data-limited domains such as health, privacy, and HCI, it becomes necessary to understand how these narratives represent identity, especially that of minority...","high","High-confidence harm-audit exemplar.","no"
"arxiv:2505.17156","PersonaBOT: Bringing Customer Personas to Life with LLMs and RAG","2025","https://arxiv.org/abs/2505.17156","Authored Archetypes","Design Communication","Local metadata supports: Design Communication. Prior source tags: design communication; narrative enrichment. Abstract basis: The introduction of Large Language Models (LLMs) has significantly transformed Natural Language Processing (NLP) applications by enabling more advanced analysis of customer personas. At Volvo Construction Equipment (VCE), customer personas have traditionally b...","medium","Design/business decision support is clear; full text needed for grounding details.","yes"
"arxiv:2506.08593","Hateful Person or Hateful Model? Investigating the Role of Personas in Hate Speech Detection by Large Language Models","2025","https://arxiv.org/abs/2506.08593","Not Persona Generation / adjacent","Bias and Harm Auditing; Agent / Model Evaluation","Local metadata supports: Bias and Harm Auditing; Agent / Model Evaluation. Prior source tags: role-playing evaluation. Abstract basis: Hate speech detection is a socially sensitive and inherently subjective task, with judgments often varying based on personal traits. While prior work has examined how socio-demographic factors influence annotation, the impact of personality traits on Large Lan...","high","Model behavior under persona conditioning is evaluated for harmful classification behavior.","no"
"arxiv:2511.10277","Fixed-Persona SLMs with Modular Memory: Scalable NPC Dialogue on Consumer Hardware","2025","https://arxiv.org/abs/2511.10277","Unclear - needs full-text check","Individual Fidelity; Agent / Model Evaluation","Local metadata supports: Individual Fidelity; Agent / Model Evaluation. Prior source tags: unclear. Abstract basis: Large Language Models (LLMs) have demonstrated remarkable capabilities in generating human-like text, yet their applicability to dialogue systems in computer games remains limited. This limitation arises from their substantial hardware requirements, latency co...","medium","Fidelity is to authored NPCs rather than real people.","yes"
"arxiv:2508.00742","Applying Psychometrics to Large Language Model Simulated Populations: Recreating the HEXACO Personality Inventory Experiment with Generative Agents","2025","https://arxiv.org/abs/2508.00742","Not Persona Generation / adjacent","Behavioral Calibration; Agent / Model Evaluation","Local metadata supports: Behavioral Calibration; Agent / Model Evaluation. Prior source tags: role-playing evaluation. Abstract basis: Generative agents powered by Large Language Models demonstrate human-like characteristics through sophisticated natural language interactions. Their ability to assume roles and personalities based on predefined character biographies has positioned them as cost...","high","Behavioral reproduction and model/persona evaluation both appear in local metadata.","no"
"arxiv:2512.00461","Whose Personae? Synthetic Persona Experiments in LLM Research and Pathways to Transparency","2025","https://arxiv.org/abs/2512.00461","Not Persona Generation / adjacent","Population Representation; Agent / Model Evaluation","Local metadata supports: Population Representation; Agent / Model Evaluation. Prior source tags: not applicable. Abstract basis: Synthetic personae experiments have become a prominent method in Large Language Model alignment research, yet the representativeness and ecological validity of these personae vary considerably between studies. Through a review of 63 peer-reviewed studies publi...","high","Survey paper; coded by the objectives it evaluates across persona-based experiments.","no"
"arxiv:2412.14843","Mapping and Influencing the Political Ideology of Large Language Models using Synthetic Personas","2024","https://arxiv.org/abs/2412.14843","Not Persona Generation / adjacent","Bias and Harm Auditing; Agent / Model Evaluation","Local metadata supports: Bias and Harm Auditing; Agent / Model Evaluation. Prior source tags: not applicable. Abstract basis: The analysis of political biases in large language models (LLMs) has primarily examined these systems as single entities with fixed viewpoints. While various methods exist for measuring such biases, the impact of persona-based prompting on LLMs' political orie...","high","Not persona generation, but persona-use for model/bias evaluation.","no"
"arxiv:2410.09168","Hybrid Training Approaches for LLMs: Leveraging Real and Synthetic Data to Enhance Model Performance in Domain-Specific Applications","2024","https://arxiv.org/abs/2410.09168","Model-Generated Personas","Coverage and Stress Testing; Agent / Model Evaluation","Local metadata supports: Coverage and Stress Testing; Agent / Model Evaluation. Prior source tags: narrative enrichment; support coverage. Abstract basis: This research explores a hybrid approach to fine-tuning large language models (LLMs) by integrating real-world and synthetic data to boost model performance, particularly in generating accurate and contextually relevant responses. By leveraging a dataset combi...","medium","Persona role is secondary in local abstract.","yes"
"arxiv:2603.11333","LLM-Augmented Digital Twin for Policy Evaluation in Short-Video Platforms","2026","https://arxiv.org/abs/2603.11333","Not Persona Generation / adjacent","Behavioral Calibration","Local metadata supports: Behavioral Calibration. Prior source tags: not applicable. Abstract basis: Short-video platforms are closed-loop, human-in-the-loop ecosystems where platform policy, creator incentives, and user behavior co-evolve. This feedback structure makes counterfactual policy evaluation difficult in production, especially for long-horizon and...","medium","Persona generation is optional within a broader platform simulation architecture.","yes"
"arxiv:2606.12433","Marginal Alignment Does Not Guarantee Joint-Distribution Fidelity: An Official-Reference Audit of Nemotron-Personas-Korea with Cross-Locale Replication","2026","https://arxiv.org/abs/2606.12433","Population-Sampled Personas","Population Representation; Bias and Harm Auditing","Local metadata supports: Population Representation; Bias and Harm Auditing. Prior source tags: joint-structure preservation; bias/harm audit. Abstract basis: Synthetic persona datasets cite alignment with official demographics as a basis for trust, yet downstream users consume them as joint structures across age, sex, region, occupation, education, name, and institutional status. Marginal alignment does not imply t...","high","Distribution fidelity audit fits population representation; representational failure motivates harm/bias audit.","no"
"arxiv:2605.26397","Algorithmic Fragility and Persona Bias in LLM-Generated Autistic Communication","2026","https://arxiv.org/abs/2605.26397","Not Persona Generation / adjacent","Bias and Harm Auditing; Agent / Model Evaluation","Local metadata supports: Bias and Harm Auditing; Agent / Model Evaluation. Prior source tags: not applicable. Abstract basis: Safety alignment reduces explicitly harmful outputs but inadvertently encodes a sanitized, neuronormative representation of marginalized communication. We investigate this encoding using a dual-persona rewrite paradigm, prompting ten large language models (LLM...","high","Clear representational harm and model-behavior audit.","no"
"arxiv:2606.14474","Verifiable User Simulation for Search and Recommendation Systems","2026","https://arxiv.org/abs/2606.14474","Not Persona Generation / adjacent","Behavioral Calibration; Bias and Harm Auditing","Local metadata supports: Behavioral Calibration; Bias and Harm Auditing. Prior source tags: not applicable. Abstract basis: Large-language-model (LLM) based user simulation is increasingly adopted for evaluating search engines, recommender systems, and retrieval-augmented generation pipelines, yet most simulators remain opaque: it is difficult to determine why a simulated user made...","medium","Tutorial/proposed framework rather than a single evaluated persona set.","yes"
"arxiv:2605.13725","ScioMind: Cognitively Grounded Multi-Agent Social Simulation with Anchoring-Based Belief Dynamics and Dynamic Profiles","2026","https://arxiv.org/abs/2605.13725","Trace-Grounded Personas","Behavioral Calibration","Local metadata supports: Behavioral Calibration. Prior source tags: behavioral calibration; narrative enrichment. Abstract basis: Large language model (LLM)-based multi-agent simulation offers a powerful testbed for studying social opinion dynamics. Yet current approaches often adopt two contrasting methods: either relying on fixed update rules with limited cognitive grounding or delegat...","medium","Local metadata supports simulation behavior but not population sampling details.","yes"
"arxiv:2506.05198","Quantifying Cross-Modality Memorization in Vision-Language Models","2025","https://arxiv.org/abs/2506.05198","Unclear - needs full-text check","Agent / Model Evaluation","Local metadata supports: Agent / Model Evaluation. Prior source tags: unclear. Abstract basis: Understanding what and how neural networks memorize during training is crucial, both from the perspective of unintentional memorization of potentially sensitive information and from the standpoint of effective knowledge acquisition for real-world, knowledge-in...","high","Persona dataset is an evaluation instrument, not a persona-method contribution.","no"
"doi:10.48550/arxiv.2502.14289","Drift: Decoding-time Personalized Alignments with Implicit User Preferences","2025","https://arxiv.org/abs/2502.14289","Not Persona Generation / adjacent","Agent / Model Evaluation","Local metadata supports: Agent / Model Evaluation. Prior source tags: role-playing evaluation. Abstract basis: Personalized alignments for individual users have been a long-standing goal in large language models (LLMs). We introduce Drift, a novel framework that personalizes LLMs at decoding time with implicit user preferences. Traditional Reinforcement Learning from H...","high","Duplicate DOI record of Drift.","no"
"arxiv:2502.03821","PsyPlay: Personality-Infused Role-Playing Conversational Agents","2025","https://arxiv.org/abs/2502.03821","Unclear - needs full-text check","Agent / Model Evaluation","Local metadata supports: Agent / Model Evaluation. Prior source tags: unclear. Abstract basis: The current research on Role-Playing Conversational Agents (RPCAs) with Large Language Models (LLMs) primarily focuses on imitating specific speaking styles and utilizing character backgrounds, neglecting the depiction of deeper personality traits.~In this stu...","medium","No population or real-person grounding claim in local metadata.","yes"
"arxiv:2503.09639","Can A Society of Generative Agents Simulate Human Behavior and Inform Public Health Policy? A Case Study on Vaccine Hesitancy","2025","https://arxiv.org/abs/2503.09639","Population-Sampled Personas","Population Representation; Behavioral Calibration","Local metadata supports: Population Representation; Behavioral Calibration. Prior source tags: density matching; behavioral calibration. Abstract basis: Can we simulate a sandbox society with generative agents to model human behavior, thereby reducing the over-reliance on real human trials for assessing public policies? In this work, we investigate the feasibility of simulating health-related decision-making,...","high","Population and behavioral objectives are explicit from local coding.","no"
"arxiv:2508.08719","IROTE: Human-like Traits Elicitation of Large Language Model via In-Context Self-Reflective Optimization","2025","https://arxiv.org/abs/2508.08719","Unclear - needs full-text check","Agent / Model Evaluation","Local metadata supports: Agent / Model Evaluation. Prior source tags: unclear. Abstract basis: Trained on various human-authored corpora, Large Language Models (LLMs) have demonstrated a certain capability of reflecting specific human-like traits (e.g., personality or values) by prompting, benefiting applications like personalized LLMs and social simula...","medium","Trait elicitation is model steering/evaluation rather than population representation.","yes"
"arxiv:2512.07195","MASim: Multilingual Agent-Based Simulation for Social Science","2025","https://arxiv.org/abs/2512.07195","Population-Sampled Personas","Population Representation; Behavioral Calibration","Local metadata supports: Population Representation; Behavioral Calibration. Prior source tags: density matching; joint-structure preservation; behavioral calibration. Abstract basis: Multi-agent role-playing has recently shown promise for studying social behavior with language agents, but existing simulations are mostly monolingual and fail to model cross-lingual interaction, an essential property of real societies. We introduce MASim, the...","high","Full metadata supports population simulation objectives.","no"
"doi:10.54941/ahfe1006738","Evaluating Silicon Sampling: LLM Accuracy in Simulating Public Opinion on Facial Recognition Technology","2025","https://doi.org/10.54941/ahfe1006738","Unclear - needs full-text check","Population Representation; Behavioral Calibration","Local metadata supports: Population Representation; Behavioral Calibration. Prior source tags: unclear. Abstract basis: Large Language Models (LLMs) have demonstrated remarkable capabilities in generating human-like responses, prompting exploration into their potential for social science research. ""Silicon sampling,"" a method where LLMs are queried after being prompted with per...","high","Local abstract directly compares generated responses to original survey data.","no"
"arxiv:2502.14289","Drift: Decoding-time Personalized Alignments with Implicit User Preferences","2025","https://arxiv.org/abs/2502.14289","Not Persona Generation / adjacent","Agent / Model Evaluation","Local metadata supports: Agent / Model Evaluation. Prior source tags: role-playing evaluation. Abstract basis: Personalized alignments for individual users have been a long-standing goal in large language models (LLMs). We introduce Drift, a novel framework that personalizes LLMs at decoding time with implicit user preferences. Traditional Reinforcement Learning from H...","high","Duplicate arXiv record of Drift.","no"
"arxiv:2505.13082","MultiActor-Audiobook: Zero-Shot Audiobook Generation with Faces and Voices of Multiple Speakers","2025","https://arxiv.org/abs/2505.13082","Model-Generated Personas","Individual Fidelity; Agent / Model Evaluation","Local metadata supports: Individual Fidelity; Agent / Model Evaluation. Prior source tags: narrative enrichment; support coverage. Abstract basis: We introduce MultiActor-Audiobook, a zero-shot approach for generating audiobooks that automatically produces consistent, expressive, and speaker-appropriate prosody, including intonation and emotion. Previous audiobook systems have several limitations: they r...","medium","Fidelity is to speaker/character presentation, not survey or social simulation personas.","yes"
"arxiv:2405.05080","Concerns on Bias in Large Language Models when Creating Synthetic Personae","2024","https://arxiv.org/abs/2405.05080","Model-Generated Personas","Bias and Harm Auditing","Local metadata supports: Bias and Harm Auditing. Prior source tags: narrative enrichment; support coverage. Abstract basis: This position paper explores the benefits, drawbacks, and ethical considerations of incorporating synthetic personae in HCI research, particularly focusing on the customization challenges beyond the limitations of current Large Language Models (LLMs). These pe...","medium","Local metadata is sparse but title and coding support a harm-audit classification.","yes"
"arxiv:2404.18231","From Persona to Personalization: A Survey on Role-Playing Language Agents","2024","https://arxiv.org/abs/2404.18231","Not Persona Generation / adjacent","Agent / Model Evaluation","Local metadata supports: Agent / Model Evaluation. Prior source tags: role-playing evaluation. Abstract basis: Recent advancements in large language models (LLMs) have significantly boosted the rise of Role-Playing Language Agents (RPLAs), i.e., specialized AI systems designed to simulate assigned personas. By harnessing multiple advanced abilities of LLMs, including i...","high","Survey paper; coded by reviewed role-playing objective.","no"
