year,column,section,matched_qname,response_suffix,description
2023,MiscTechHaveWorkedWith,Technology stack,MiscTech,worked with in the past year,"Which other frameworks and libraries have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2023,MiscTechWantToWorkWith,Technology stack,MiscTech,want to work with next year,"Which other frameworks and libraries have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2023,ToolsTechHaveWorkedWith,Technology stack,ToolsTech,worked with in the past year,"Which developer tools for compiling, building and testing have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2023,ToolsTechWantToWorkWith,Technology stack,ToolsTech,want to work with next year,"Which developer tools for compiling, building and testing have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2023,NEWCollabToolsHaveWorkedWith,Technology stack,NEWCollabTools,worked with in the past year,"Which development environments did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply. | Response column: worked with in the past year"
2023,NEWCollabToolsWantToWorkWith,Technology stack,NEWCollabTools,want to work with next year,"Which development environments did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply. | Response column: want to work with next year"
2023,OpSysPersonal use,Technology stack,OpSys,personal use,What is the primary operating system in which you work? | Response column: personal use
2023,OpSysProfessional use,Technology stack,OpSys,professional use,What is the primary operating system in which you work? | Response column: professional use
2023,OfficeStackAsyncHaveWorkedWith,Technology stack,OfficeStackAsync,worked with in the past year,"Which collaborative work management and/or code documentation tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: worked with in the past year"
2023,OfficeStackAsyncWantToWorkWith,Technology stack,OfficeStackAsync,want to work with next year,"Which collaborative work management and/or code documentation tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: want to work with next year"
2023,OfficeStackSyncHaveWorkedWith,Technology stack,OfficeStackSync,worked with in the past year,"Which communication tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: worked with in the past year"
2023,OfficeStackSyncWantToWorkWith,Technology stack,OfficeStackSync,want to work with next year,"Which communication tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: want to work with next year"
2023,AISearchHaveWorkedWith,AI usage and attitudes,AISearch,worked with in the past year,"Which AI-powered search tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply. | Response column: worked with in the past year"
2023,AISearchWantToWorkWith,AI usage and attitudes,AISearch,want to work with next year,"Which AI-powered search tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply. | Response column: want to work with next year"
2023,AIDevHaveWorkedWith,AI usage and attitudes,AIDev,worked with in the past year,"Which AI-powered developer tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: worked with in the past year"
2023,AIDevWantToWorkWith,AI usage and attitudes,AIDev,want to work with next year,"Which AI-powered developer tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: want to work with next year"
2023,NEWSOSites,Stack Overflow community,NEWSOSites,,Which of the following Stack Overflow sites have you visited? Select all that apply. *
2023,SOVisitFreq,Stack Overflow community,SOVisitFreq,,How frequently would you say you visit Stack Overflow?
2023,SOAccount,Stack Overflow community,SOAccount,,Do you have a Stack Overflow account?
2023,SOPartFreq,Stack Overflow community,SOPartFreq,,"How frequently would you say you participate in Q&A on Stack Overflow? By participate we mean ask, answer, vote for, or comment on questions."
2023,SOComm,Stack Overflow community,SOComm,,Do you consider yourself a member of the Stack Overflow community?
2023,SOAI,Other survey answers,SOAI,,"Artificial Intelligence (AI) tools have gained prominence recently across industries. The following question asks for your perspective on Stack Overflow using AI technology to improve the current experience, for example by using AI to suggest better titles for your question. For your response, consider these sorts of improvements to the experience with/on Stack Overflow and not the presence or absence of content generated by AI and posted on Stack Overflow. What is your opinion on Stack Overflow using AI tools to improve the current experience? What could AI help with most to improve Stack Overflow?"
2023,AISelect,AI usage and attitudes,AISelect,,Do you currently use AI tools in your development process? *
2023,AISent,AI usage and attitudes,AISent,,How favorable is your stance on using AI tools as part of your development workflow?
2023,AIAcc,AI usage and attitudes,AIAcc,,"For the AI tools you use as part of your development workflow, what are the MOST important benefits you are hoping to achieve? Please check all that apply."
2023,AIBen,AI usage and attitudes,AIBen,,How much do you trust the accuracy of the output from AI tools as part of your development workflow?
2023,AIToolInterested in Using,AI usage and attitudes,AITool,interested in using,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year? Please select all that apply. | Response column: interested in using
2023,AIToolCurrently Using,AI usage and attitudes,AITool,currently using,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year? Please select all that apply. | Response column: currently using
2023,AIToolNot interested in Using,AI usage and attitudes,AITool,not interested in using,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year? Please select all that apply. | Response column: not interested in using
2023,AINextVery different,AI usage and attitudes,AINext,Very different,"Thinking about how your workflow and process changes over time, how similar or different do you anticipate your workflow to be 1 year from now as a result of AI tools you are currently using? | Response column: Very different"
2023,AINextNeither different nor similar,AI usage and attitudes,AINext,Neither different nor similar,"Thinking about how your workflow and process changes over time, how similar or different do you anticipate your workflow to be 1 year from now as a result of AI tools you are currently using? | Response column: Neither different nor similar"
2023,AINextSomewhat similar,AI usage and attitudes,AINext,Somewhat similar,"Thinking about how your workflow and process changes over time, how similar or different do you anticipate your workflow to be 1 year from now as a result of AI tools you are currently using? | Response column: Somewhat similar"
2023,AINextVery similar,AI usage and attitudes,AINext,Very similar,"Thinking about how your workflow and process changes over time, how similar or different do you anticipate your workflow to be 1 year from now as a result of AI tools you are currently using? | Response column: Very similar"
2023,AINextSomewhat different,AI usage and attitudes,AINext,Somewhat different,"Thinking about how your workflow and process changes over time, how similar or different do you anticipate your workflow to be 1 year from now as a result of AI tools you are currently using? | Response column: Somewhat different"
2023,TBranch,Other survey answers,TBranch,,Would you like to participate in the Professional Developer Series? *
2023,ICorPM,Work and career,ICorPM,,Are you an individual contributor or people manager?
2023,WorkExp,Work and career,WorkExp,,How many years of working experience do you have?
2023,Knowledge_1,Other survey answers,Knowledge_1,,I have interactions with people outside of my immediate team.
2023,Knowledge_2,Other survey answers,Knowledge_2,,"Knowledge silos prevent me from getting ideas across the organization (i.e., one individual or team has information that isn't shared with others)"
2023,Knowledge_3,Other survey answers,Knowledge_3,,I can find up-to-date information within my organization to help me do my job.
2023,Knowledge_4,Other survey answers,Knowledge_4,,I am able to quickly find answers to my questions with existing tools and resources.
2023,Knowledge_5,Other survey answers,Knowledge_5,,I know which system or resource to use to find information and answers to questions I have.
2023,Knowledge_6,Other survey answers,Knowledge_6,,I often find myself answering questions that I’ve already answered before.
2023,Knowledge_7,Other survey answers,Knowledge_7,,Waiting on answers to questions often causes interruptions and disrupts my workflow.
2023,Knowledge_8,Other survey answers,Knowledge_8,,I feel like I have the tools and/or resources to quickly understand and work on any area of my company's code/system/platform.
2023,Frequency_1,Other survey answers,Frequency_1,,Needing help from people outside of your immediate team?
2023,Frequency_2,Other survey answers,Frequency_2,,Interacting with people outside of your immediate team?
2023,Frequency_3,Other survey answers,Frequency_3,,Encountering knowledge silos (where one individual or team has information that's not shared or distributed with other individuals or teams) at work?
2023,TimeSearching,Other survey answers,TimeSearching,,"On an average day, how much time do you typically spend searching for answers or solutions to problems you encounter at work? (This includes time spent searching on your own, asking a colleague, and waiting for a response)."
2023,TimeAnswering,Other survey answers,TimeAnswering,,"On an average day, how much time do you typically spend answering questions you get asked at work?"
2023,ProfessionalTech,Other survey answers,ProfessionalTech,,My company has:
2023,Industry,Work and career,Industry,,What industry is the company you work for in?
2023,SurveyLength,Other survey answers,SurveyLength,,How do you feel about the length of the survey this year?
2023,SurveyEase,Other survey answers,SurveyEase,,How easy or difficult was this survey to complete?
2023,ConvertedCompYearly,Other survey answers,,,ConvertedCompYearly
2023,completeness,Other survey answers,,,completeness
2024,ResponseId,Other survey answers,,,ResponseId
2024,MainBranch,Background,MainBranch,,"Which of the following options best describes you today? For the purpose of this survey, a developer is ""someone who writes code"".*"
2024,Age,Background,Age,,What is your age?*
2024,Employment,Background,Employment,,Which of the following best describes your current employment status? Select all that apply.*
2024,RemoteWork,Work and career,RemoteWork,,Which best describes your current work situation?
2024,Check,Other survey answers,Check,,Just checking to make sure you are paying attention to the survey questions. Select ‘Apples’ from the list and you can get back to the survey.*
2024,CodingActivities,Other survey answers,CodingActivities,,Which of the following best describes the code you write outside of work? Select all that apply.
2024,EdLevel,Background,EdLevel,,Which of the following best describes the highest level of formal education that you’ve completed? *
2024,LearnCode,Background,LearnCode,,How do you learn to code? Select all that apply.
2024,LearnCodeOnline,Background,LearnCodeOnline,,What online resources do you use to learn to code? Select all that apply.
2024,TechDoc,Other survey answers,TechDoc,,What is the source of the technical documentation you use most often to learn to code? Select all that apply.
2024,YearsCode,Work and career,YearsCode,,"Including any education, how many years have you been coding in total?"
2024,YearsCodePro,Work and career,YearsCodePro,,"NOT including education, how many years have you coded professionally (as a part of your work)?"
2024,DevType,Work and career,DevType,,"Which of the following describes your current job, the one you do most of the time? Please select only one."
2024,OrgSize,Work and career,OrgSize,,"Approximately how many people are employed by the company or organization you currently work for? This should only include your primary company, and not the entire holding or parent company if that applies."
2024,PurchaseInfluence,Work and career,PurchaseInfluence,,"What level of influence do you, personally, have over new technology purchases at your organization?"
2024,BuyNewTool,Other survey answers,BuyNewTool,,"When buying a new tool or software, how do you discover and research available solutions? Select all that apply."
2024,BuildvsBuy,Work and career,BuildvsBuy,,"When asked to provide a recommendation for solving a problem at work with a new tool or software, what has been your most recent choice of the following?"
2024,TechEndorse,Work and career,TechEndorse,,What product feature do you care about most when endorsing a technology purchase? Select all that apply.
2024,Country,Background,Country,,Where do you live? *
2024,Currency,Background,Currency,,"Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in. *"
2024,CompTotal,Work and career,CompTotal,,"What is your current total annual compensation (salary, bonuses, and perks, before taxes and deductions)? Please enter a whole number in the box below, without any punctuation. If you are paid hourly, please estimate an equivalent yearly salary. If you prefer not to answer, please leave the box empty."
2024,LanguageHaveWorkedWith,Technology stack,Language,worked with in the past year,"Which programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2024,LanguageWantToWorkWith,Technology stack,Language,want to work with next year,"Which programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2024,LanguageAdmired,Technology stack,Language,admired technology,"Which programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.) | Response column: admired technology"
2024,DatabaseHaveWorkedWith,Technology stack,Database,worked with in the past year,"Which database environments have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2024,DatabaseWantToWorkWith,Technology stack,Database,want to work with next year,"Which database environments have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2024,DatabaseAdmired,Technology stack,Database,admired technology,"Which database environments have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.) | Response column: admired technology"
2024,PlatformHaveWorkedWith,Technology stack,Platform,worked with in the past year,"Which cloud platforms have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2024,PlatformWantToWorkWith,Technology stack,Platform,want to work with next year,"Which cloud platforms have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2024,PlatformAdmired,Technology stack,Platform,admired technology,"Which cloud platforms have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.) | Response column: admired technology"
2024,WebframeHaveWorkedWith,Technology stack,Webframe,worked with in the past year,"Which web frameworks and web technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2024,WebframeWantToWorkWith,Technology stack,Webframe,want to work with next year,"Which web frameworks and web technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2024,WebframeAdmired,Technology stack,Webframe,admired technology,"Which web frameworks and web technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: admired technology"
2024,EmbeddedHaveWorkedWith,Technology stack,Embedded,worked with in the past year,"Which embedded systems and technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2024,EmbeddedWantToWorkWith,Technology stack,Embedded,want to work with next year,"Which embedded systems and technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2024,EmbeddedAdmired,Technology stack,Embedded,admired technology,"Which embedded systems and technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: admired technology"
2024,MiscTechHaveWorkedWith,Technology stack,MiscTech,worked with in the past year,"Which other frameworks and libraries have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2024,MiscTechWantToWorkWith,Technology stack,MiscTech,want to work with next year,"Which other frameworks and libraries have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2024,MiscTechAdmired,Technology stack,MiscTech,admired technology,"Which other frameworks and libraries have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: admired technology"
2024,ToolsTechHaveWorkedWith,Technology stack,ToolsTech,worked with in the past year,"Which developer tools for compiling, building and testing have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2024,ToolsTechWantToWorkWith,Technology stack,ToolsTech,want to work with next year,"Which developer tools for compiling, building and testing have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2024,ToolsTechAdmired,Technology stack,ToolsTech,admired technology,"Which developer tools for compiling, building and testing have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.) | Response column: admired technology"
2024,NEWCollabToolsHaveWorkedWith,Technology stack,NEWCollabTools,worked with in the past year,"Which development environments did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply. | Response column: worked with in the past year"
2024,NEWCollabToolsWantToWorkWith,Technology stack,NEWCollabTools,want to work with next year,"Which development environments did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply. | Response column: want to work with next year"
2024,NEWCollabToolsAdmired,Technology stack,NEWCollabTools,admired technology,"Which development environments did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply. | Response column: admired technology"
2024,OpSysPersonal use,Technology stack,OpSys,personal use,What is the primary operating system in which you work? | Response column: personal use
2024,OpSysProfessional use,Technology stack,OpSys,professional use,What is the primary operating system in which you work? | Response column: professional use
2024,OfficeStackAsyncHaveWorkedWith,Technology stack,OfficeStackAsync,worked with in the past year,"Which collaborative work management and/or code documentation tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: worked with in the past year"
2024,OfficeStackAsyncWantToWorkWith,Technology stack,OfficeStackAsync,want to work with next year,"Which collaborative work management and/or code documentation tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: want to work with next year"
2024,OfficeStackAsyncAdmired,Technology stack,OfficeStackAsync,admired technology,"Which collaborative work management and/or code documentation tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: admired technology"
2024,OfficeStackSyncHaveWorkedWith,Technology stack,OfficeStackSync,worked with in the past year,"Which communication tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: worked with in the past year"
2024,OfficeStackSyncWantToWorkWith,Technology stack,OfficeStackSync,want to work with next year,"Which communication tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: want to work with next year"
2024,OfficeStackSyncAdmired,Technology stack,OfficeStackSync,admired technology,"Which communication tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: admired technology"
2024,AISearchDevHaveWorkedWith,AI usage and attitudes,AISearchDev,worked with in the past year,"Which AI-powered search and developer tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply. | Response column: worked with in the past year"
2024,AISearchDevWantToWorkWith,AI usage and attitudes,AISearchDev,want to work with next year,"Which AI-powered search and developer tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply. | Response column: want to work with next year"
2024,AISearchDevAdmired,AI usage and attitudes,AISearchDev,admired technology,"Which AI-powered search and developer tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply. | Response column: admired technology"
2024,NEWSOSites,Stack Overflow community,NEWSOSites,,Which of the following Stack Overflow sites have you visited? Select all that apply. *
2024,SOVisitFreq,Stack Overflow community,SOVisitFreq,,How frequently would you say you visit Stack Overflow?
2024,SOAccount,Stack Overflow community,SOAccount,,Do you have a Stack Overflow account?
2024,SOPartFreq,Stack Overflow community,SOPartFreq,,"How frequently would you say you participate in Q&A on Stack Overflow? By participate we mean ask, answer, vote for, or comment on questions."
2024,SOHow,Stack Overflow community,SOHow,,How do you use Stack Overflow? Select all that apply.
2024,SOComm,Stack Overflow community,SOComm,,Do you consider yourself a member of the Stack Overflow community?
2024,AISelect,AI usage and attitudes,AISelect,,Do you currently use AI tools in your development process? *
2024,AISent,AI usage and attitudes,AISent,,How favorable is your stance on using AI tools as part of your development workflow?
2024,AIBen,AI usage and attitudes,AIBen,,"For the AI tools you use as part of your development workflow, what are the MOST important benefits you are hoping to achieve? Please check all that apply."
2024,AIAcc,AI usage and attitudes,AIAcc,,How much do you trust the accuracy of the output from AI tools as part of your development workflow?
2024,AIComplex,AI usage and attitudes,AIComplex,,How well do the AI tools you use in your development workflow handle complex tasks?
2024,AIToolCurrently Using,AI usage and attitudes,AITool,currently using,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year? Please select all that apply. | Response column: currently using
2024,AIToolInterested in Using,AI usage and attitudes,AITool,interested in using,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year? Please select all that apply. | Response column: interested in using
2024,AIToolNot interested in Using,AI usage and attitudes,AITool,not interested in using,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year? Please select all that apply. | Response column: not interested in using
2024,AINextMuch more integrated,AI usage and attitudes,AINext,Much more integrated,"Thinking about how your job and process changes over time, how integrated in your workflow do you anticipate AI tools you are currently using will be 1 year from now? | Response column: Much more integrated"
2024,AINextNo change,AI usage and attitudes,AINext,No change,"Thinking about how your job and process changes over time, how integrated in your workflow do you anticipate AI tools you are currently using will be 1 year from now? | Response column: No change"
2024,AINextMore integrated,AI usage and attitudes,AINext,More integrated,"Thinking about how your job and process changes over time, how integrated in your workflow do you anticipate AI tools you are currently using will be 1 year from now? | Response column: More integrated"
2024,AINextLess integrated,AI usage and attitudes,AINext,Less integrated,"Thinking about how your job and process changes over time, how integrated in your workflow do you anticipate AI tools you are currently using will be 1 year from now? | Response column: Less integrated"
2024,AINextMuch less integrated,AI usage and attitudes,AINext,Much less integrated,"Thinking about how your job and process changes over time, how integrated in your workflow do you anticipate AI tools you are currently using will be 1 year from now? | Response column: Much less integrated"
2024,AIThreat,AI usage and attitudes,AIThreat,,Do you believe AI is a threat to your current job?
2024,AIEthics,AI usage and attitudes,AIEthics,,Which AI ethical responsibilities are most important to you? Select all that apply.
2024,AIChallenges,AI usage and attitudes,AIChallenges,,What are the challenges to your company/whole team using AI code assistants or GenAI tools? Select all that apply.
2024,TBranch,Other survey answers,TBranch,,Would you like to participate in the Professional Developer Series? *
2024,ICorPM,Work and career,ICorPM,,Are you an individual contributor or people manager?
2024,WorkExp,Work and career,WorkExp,,How many years of working experience do you have?
2024,Knowledge_1,Other survey answers,Knowledge_1,,I have interactions with people outside of my immediate team.
2024,Knowledge_2,Other survey answers,Knowledge_2,,"Knowledge silos prevent me from getting ideas across the organization (i.e., one individual or team has information that isn't shared with others)"
2024,Knowledge_3,Other survey answers,Knowledge_3,,I can find up-to-date information within my organization to help me do my job.
2024,Knowledge_4,Other survey answers,Knowledge_4,,I am able to quickly find answers to my questions with existing tools and resources.
2024,Knowledge_5,Other survey answers,Knowledge_5,,I know which system or resource to use to find information and answers to questions I have.
2024,Knowledge_6,Other survey answers,Knowledge_6,,I often find myself answering questions that I’ve already answered before.
2024,Knowledge_7,Other survey answers,Knowledge_7,,Waiting on answers to questions often causes interruptions and disrupts my workflow.
2024,Knowledge_8,Other survey answers,Knowledge_8,,I feel like I have the tools and/or resources to quickly understand and work on any area of my company's code/system/platform.
2024,Knowledge_9,Other survey answers,Knowledge_9,,I have asked my employer to reimburse me for tools or a product that helps me do my job better or faster
2024,Frequency_1,Other survey answers,Frequency_1,,Needing help from people outside of your immediate team?
2024,Frequency_2,Other survey answers,Frequency_2,,Interacting with people outside of your immediate team?
2024,Frequency_3,Other survey answers,Frequency_3,,Encountering knowledge silos (where one individual or team has information that's not shared or distributed with other individuals or teams) at work?
2024,TimeSearching,Other survey answers,TimeSearching,,"On an average day, how much time do you typically spend searching for answers or solutions to problems you encounter at work? (This includes time spent searching on your own, asking a colleague, and waiting for a response)."
2024,TimeAnswering,Other survey answers,TimeAnswering,,"On an average day, how much time do you typically spend answering questions you get asked at work?"
2024,Frustration,Other survey answers,Frustration,,Which of these company challenges causes you the most frustration? Select all that apply.
2024,ProfessionalTech,Other survey answers,ProfessionalTech,,My company has:
2024,ProfessionalCloud,Other survey answers,ProfessionalCloud,,"At my company, our applications, databases and services are hosted:"
2024,ProfessionalQuestion,Other survey answers,ProfessionalQuestion,,"When you have a technical question at work, where do you first go to get an answer?"
2024,Industry,Work and career,Industry,,What industry is the company you work for in?
2024,JobSatPoints_1,Work and career,JobSatPoints_1,,Driving strategy for my team
2024,JobSatPoints_4,Work and career,JobSatPoints_4,,Contributing to open source
2024,JobSatPoints_5,Work and career,JobSatPoints_5,,Securing data and environments
2024,JobSatPoints_6,Work and career,JobSatPoints_6,,Improving quality of code and developer environments
2024,JobSatPoints_7,Work and career,JobSatPoints_7,,"Learning and using new technology, including platforms, APIs and libraries"
2024,JobSatPoints_8,Work and career,JobSatPoints_8,,"Designing and building environments, databases, and all things architecture"
2024,JobSatPoints_9,Work and career,JobSatPoints_9,,"Being a power user of a tool, developer language or process that others come to for answers and guidance about"
2024,JobSatPoints_10,Work and career,JobSatPoints_10,,Working with new and/or top-quality hardware
2024,JobSatPoints_11,Work and career,JobSatPoints_11,,A well-staffed/sourced internal network that makes observability easy so network or runtime issues are addressed and fixed easily
2024,SurveyLength,Other survey answers,SurveyLength,,How do you feel about the length of the survey this year?
2024,SurveyEase,Other survey answers,SurveyEase,,How easy or difficult was this survey to complete?
2024,ConvertedCompYearly,Other survey answers,,,ConvertedCompYearly
2024,JobSat,Work and career,JobSat,,How satisfied are you in your current professional developer role?
2024,completeness,Other survey answers,,,completeness
2025,ResponseId,Other survey answers,,,ResponseId
